"Can Be Safely Deleted or Modified","Cannot Be Safely Deleted or Modified","WARNING","IMPACTED CUSTOMIZATIONS","Inactive Customizations (Already Deleted)"
,"Finance Approved (Body Field)","RECENTLY USED,DEPENDENT WORKFLOWS,DEPENDENT FIELD,NOT ARCHIVED,DATA SOURCE,DEPENDENT MANAGED BUNDLE","Finance Approved (Body Field),Sales Order Pending Credit Check (Search),Finance Approval (Workflow),PFC WO (Column Field),Rebate Amount (Column Field),Reversal Date (Body Field),Comments (Body Field),Controller Approval (Body Field),Email (Body Field),Senior Executive Approval (Body Field),InsideView Container (Body Field),Priority test (Body Field),Est. Cost (Column Field),Store Wrnty Avail (Column Field),-Contract (Body Field),Vendor Credit (Column Field),Promotion. (Column Field),Inspection Test 2 (Body Field),Sales Manager Declined (Body Field),Senior Executive Approved Date (Body Field),Serial/Lot Number (Body Field),-Contract Item (Column Field),Customer Priority (Body Field),Machine Shop (Body Field),Invoice On Hold (Body Field),Reason for Return (Body Field),Sales Manager Approved Date (Body Field)",
,"Finance Approved Date (Body Field)","DEPENDENT WORKFLOWS,NOT ARCHIVED,RECENTLY USED,DEPENDENT WORKFLOWS,DEPENDENT FIELD,NOT ARCHIVED,DATA SOURCE","Finance Approval (Workflow),Finance Approved Date (Body Field),Finance Approved (Body Field),Sales Order Pending Credit Check (Search),Finance Approval (Workflow),PFC WO (Column Field),Rebate Amount (Column Field),Reversal Date (Body Field),Comments (Body Field),Controller Approval (Body Field),Email (Body Field),Senior Executive Approval (Body Field),InsideView Container (Body Field),Priority test (Body Field),Est. Cost (Column Field),Store Wrnty Avail (Column Field),-Contract (Body Field),Vendor Credit (Column Field),Promotion. (Column Field),Inspection Test 2 (Body Field),Sales Manager Declined (Body Field),Senior Executive Approved Date (Body Field),Serial/Lot Number (Body Field),-Contract Item (Column Field),Customer Priority (Body Field),Machine Shop (Body Field),Invoice On Hold (Body Field)",
,"Finance Declined (Body Field)","RECENTLY USED,DEPENDENT WORKFLOWS,NOT ARCHIVED,DEPENDENT WORKFLOWS,NOT ARCHIVED,RECENTLY USED,DEPENDENT WORKFLOWS,DEPENDENT FIELD,NOT ARCHIVED,DATA SOURCE","Finance Declined (Body Field),Sales Order Pending Credit Check (Search),Finance Approval (Workflow),Finance Approval (Workflow),Finance Approved Date (Body Field),Finance Approved (Body Field),Sales Order Pending Credit Check (Search),Finance Approval (Workflow),PFC WO (Column Field),Rebate Amount (Column Field),Reversal Date (Body Field),Comments (Body Field),Controller Approval (Body Field),Email (Body Field),Senior Executive Approval (Body Field),InsideView Container (Body Field),Priority test (Body Field),Est. Cost (Column Field),Store Wrnty Avail (Column Field),-Contract (Body Field),Vendor Credit (Column Field),Promotion. (Column Field),Inspection Test 2 (Body Field),Sales Manager Declined (Body Field),Senior Executive Approved Date (Body Field),Serial/Lot Number (Body Field),-Contract Item (Column Field)",
,"Requires Finance Approval (Body Field)","RECENTLY USED,DEPENDENT WORKFLOWS,NOT ARCHIVED,RECENTLY USED,DEPENDENT WORKFLOWS,NOT ARCHIVED,DEPENDENT WORKFLOWS,NOT ARCHIVED,RECENTLY USED,DEPENDENT WORKFLOWS,DEPENDENT FIELD,NOT ARCHIVED,DATA SOURCE","Requires Finance Approval (Body Field),Sales Order Pending Credit Check (Search),Finance Approval (Workflow),Finance Declined (Body Field),Sales Order Pending Credit Check (Search),Finance Approval (Workflow),Finance Approval (Workflow),Finance Approved Date (Body Field),Finance Approved (Body Field),Sales Order Pending Credit Check (Search),Finance Approval (Workflow),PFC WO (Column Field),Rebate Amount (Column Field),Reversal Date (Body Field),Comments (Body Field),Controller Approval (Body Field),Email (Body Field),Senior Executive Approval (Body Field),InsideView Container (Body Field),Priority test (Body Field),Est. Cost (Column Field),Store Wrnty Avail (Column Field),-Contract (Body Field),Vendor Credit (Column Field),Promotion. (Column Field),Inspection Test 2 (Body Field),Sales Manager Declined (Body Field)",
,"Strongpoint Customization Not in Use (Search)","DEPENDENT WORKFLOWS","TEST Workflows (Workflow)",
